cap_inc,lab_inc,financial_assets,nonfinanc_assets,weights
450,0,0,0,2045.400221
0,0,2722,185135,1451.9318085
50942,0,526000,812000,10.0010975
0,0,601,92852,1334.5260815
3600,0,2582,491495,32.417028
0,0,2000,144724.12,1465.356815
14980,20020,550000,2314714,6.9400415
5000,75000,651000,615000,7.856557
0,0,2000,108182,1852.500665
191,0,102500,81500,1911.984172
9777.6,30014.4,13000,140000,827.0842355
7500,17500,57000,289000,833.552229
220,39600,61800,397000,1232.602194
200,48000,57500,160200,1339.332889
1,0,7000,232070,3618.7471875
0,11784,128650,139750,1526.1583835
18801.2,89002.79999999999,693000,608977,2962.485144
51177.6,103994.4,2796000,1910000,20.1605225
18000,42000,30000,584130,8550.991974
16500,18900,105000,374573,14.4166165
0,23820,8345,38692.5,1244.2205555
0,12000,500,120000,1421.9069645
2,14400,9395,0,827.2274345
6,0,15000,40000,1419.8638635
0,0,1000,85695,2228.306074
2100,50344,7429,155493,2690.9819875
0,0,6500,72262,2640.327547
58880,96300,909600,2486244,120.347651
53050,8400,103000,1000000,975.5303765
0,0,6000,41010,1952.6509695
0,42720,300,145000,1409.6473695
0,12048,496,711,2684.9618095
0,0,43000,18516,1253.360854
0,0,1729,300000,10.4859335
8613,19320,89306,615000,726.307922
700,42624,218000,273862,1512.9663565
0,38640,13195,220000,1917.8938095
350,0,90000,140000,262.6997855
3077,19996,84070,146100,4193.8447505
0,22368,4700,40000,1887.317157
44407.6,144394.4,403000,1603705,1103.7726065
0,41688,2000,0,1925.0064665
22800,0,55251,640000,17.194961
0,14400,4000,187585,1744.0545005
0,30000,2500,1000,1482.6387555
45,22800,11000,166643,2317.499291
89944,0,140000,2450000,12.9710215
300,60252,37000,28050,4395.5233845
6600,0,25524,505000,826.069152
47000,0,1095000,2543441,21.4512805
90,74880,316271,300000,1223.4506135
0,0,1100,0,1196.7936515
4242,0,180364,677240,21.4512805
600,0,129679,190000,26.0054305
0,65400,13000,360000,19.5448885
0,10368,2001,0,1184.509359
0,0,10000,150253,2824.603667
7840,0,143000,465000,1054.689532
7200,45600,46000,241500,1590.916714
0,0,325000,1322500,959.943935
0,0,30000,55500,1224.496464
0,15600,32000,66000,1767.4947835
1500,80400,289000,200600,760.1154545
2800,12600,854000,558000,614.0649715
200250,43200,29139,350000,1160.103759
0,32400,27000,362000,4665.848612
0,33180,18802,60000,1600.1494455
0,0,63100,59067,413.763334
0,0,9000,0,3183.2714055
0,0,1600,91152,601.6827245
29503.3,52030.7,73779,541096,814.506859
0,31200,600,68288,2054.9773635
8417.4,39944.6,9720,2397536,50.7542365
0,0,0,0,2225.487933
